"area_id","manzana_label","mza","variable","categoria","casos","pct"
"07010100010010003900","070101000100100039 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 039","039","sexo","Mujer",77,0.458333333333333
"07010100010010004000","070101000100100040 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 040","040","sexo","Hombre",29,0.483333333333333
"07010100010010004000","070101000100100040 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 040","040","sexo","Mujer",31,0.516666666666667
"07010100010010004100","070101000100100041 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 041","041","sexo","Hombre",88,0.473118279569892
"07010100010010004100","070101000100100041 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 041","041","sexo","Mujer",98,0.526881720430108
"07010100010010004200","070101000100100042 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 042","042","sexo","Hombre",72,0.496551724137931
"07010100010010004200","070101000100100042 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 042","042","sexo","Mujer",73,0.503448275862069
"07010100010010004300","070101000100100043 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 043","043","sexo","Hombre",96,0.507936507936508
"07010100010010004300","070101000100100043 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 043","043","sexo","Mujer",93,0.492063492063492
"07010100010010004400","070101000100100044 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 044","044","sexo","Hombre",82,0.503067484662577
"07010100010010004400","070101000100100044 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 044","044","sexo","Mujer",81,0.496932515337423
"07010100010010004500","070101000100100045 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 045","045","sexo","Hombre",79,0.481707317073171
"07010100010010004500","070101000100100045 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 045","045","sexo","Mujer",85,0.518292682926829
"07010100010010004600","070101000100100046 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 046","046","sexo","Hombre",65,0.52
"07010100010010004600","070101000100100046 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 046","046","sexo","Mujer",60,0.48
"07010100010010004700","070101000100100047 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 047","047","sexo","Hombre",41,0.440860215053763
"07010100010010004700","070101000100100047 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 047","047","sexo","Mujer",52,0.559139784946236
"07010100010010004800","070101000100100048 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 048","048","sexo","Hombre",18,0.580645161290323
"07010100010010004800","070101000100100048 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 048","048","sexo","Mujer",13,0.419354838709677
"07010100010010004900","070101000100100049 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 049","049","sexo","Hombre",39,0.475609756097561
