"LLAVE_MZS","Mz","CODCCPP","ZONA","AREA","manzana_label","mza","sexo_hombre","sexo_mujer","tipoviv_casa_independiente","tipoviv_departamento_en_edificio","tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_","tipoviv_vivienda_improvisada","tipoviv_viviendas_colectivas","tipoviv_vivienda_en_quinta","tipoviv_local_no_destinado_para_habitaci_n_humana","tipoviv_otro_tipo_de_vivienda_particular","ocup_ocupada_con_personas_presentes","ocup_ocupada_con_personas_ausentes","ocup_ocupada_de_uso_ocasional","ocup_desocupada_otra_causa","ocup_desocupada_abandonada_o_cerrada","ocup_desocupada_en_construcci_n_o_reparaci_n","ocup_desocupada_en_alquiler_o_venta","tenencia_alquilada","tenencia_propia_sin_t_tulo_de_propiedad","tenencia_propia_con_t_tulo_de_propiedad","tenencia_cedida","tenencia_otra_forma","habitaciones_promedio","viviendas_con_dato_habitaciones","personas_hogar_promedio","hogares_con_dato","poblacion_total","pct_hombres","viviendas_con_tenencia","pct_alquiler","hacinamiento_proxy"
"070101000102600040","070101000102600040",1,2600,1,"070101000102600040 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 040","040",147,164,57,19,0,0,0,0,0,0,72,3,0,0,1,0,0,14,4,38,16,0,3,72,4,77,311,47.3,72,19.4,1.33
"070101000102600014","070101000102600014",1,2600,1,"070101000102600014 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 014","014",136,160,56,6,0,0,0,0,0,0,60,2,0,0,0,0,0,13,2,36,9,0,3,60,4,73,296,45.9,60,21.7,1.33
"070101000101600041","070101000101600041",1,1600,1,"070101000101600041 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 041","041",98,89,35,10,4,0,0,0,0,0,49,0,0,0,0,0,0,15,5,27,2,0,3,49,4,49,187,52.4,49,30.6,1.33
"070101000102800020","070101000102800020",1,2800,1,"070101000102800020 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 020","020",165,178,68,1,0,0,1,0,0,0,67,1,0,0,1,0,0,14,3,45,5,0,3,67,4,79,343,48.1,67,20.9,1.33
"070101000101600056","070101000101600056",1,1600,1,"070101000101600056 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 056","056",118,117,43,10,0,0,0,0,0,0,53,0,0,0,0,0,0,17,3,27,6,0,3,53,4,53,235,50.2,53,32.1,1.33
"070101000101600055","070101000101600055",1,1600,1,"070101000101600055 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 055","055",98,112,38,15,0,0,0,0,0,0,53,0,0,0,0,0,0,20,4,24,5,0,2,53,4,57,210,46.7,53,37.7,2
"070101000102700006","070101000102700006",1,2700,1,"070101000102700006 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 006","006",113,133,49,15,0,0,0,0,0,0,55,1,0,2,6,0,0,8,8,36,3,0,3,55,4,61,246,45.9,55,14.5,1.33
"070101000102700060","070101000102700060",1,2700,1,"070101000102700060 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 060","060",125,150,59,8,2,0,1,0,0,0,66,2,1,0,0,0,0,23,3,27,12,1,3,66,3,78,275,45.5,66,34.8,1
"070101000102600017","070101000102600017",1,2600,1,"070101000102600017 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 017","017",29,25,13,2,0,0,0,0,0,0,13,0,2,0,0,0,0,1,2,8,2,0,3,13,4,13,54,53.7,13,7.7,1.33
"070101000102600013","070101000102600013",1,2600,1,"070101000102600013 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 013","013",103,125,43,7,0,0,0,0,0,0,50,0,0,0,0,0,0,5,2,37,6,0,3,50,4,65,228,45.2,50,10,1.33
"070101000102700043","070101000102700043",1,2700,1,"070101000102700043 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 043","043",84,102,43,0,2,0,0,0,0,0,44,1,0,0,0,0,0,14,7,17,6,0,3,44,4,47,186,45.2,44,31.8,1.33
"070101000101600046","070101000101600046",1,1600,1,"070101000101600046 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 046","046",178,178,77,1,0,0,1,3,0,0,81,0,0,0,0,0,0,35,2,41,3,0,3,81,4,95,356,50,81,43.2,1.33
"070101000102700002","070101000102700002",1,2700,1,"070101000102700002 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002","002",128,126,50,10,0,0,0,0,0,0,60,0,0,0,0,0,0,5,0,42,13,0,3,60,4,68,254,50.4,60,8.3,1.33
"070101000102500024","070101000102500024",1,2500,1,"070101000102500024 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 024","024",52,63,40,0,0,0,0,0,0,0,28,1,11,0,0,0,0,3,0,18,7,0,3,28,4,32,115,45.2,28,10.7,1.33
"070101000102800022","070101000102800022",1,2800,1,"070101000102800022 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 022","022",128,144,74,5,0,0,0,0,0,0,74,4,1,0,0,0,0,30,2,41,1,0,3,74,4,76,272,47.1,74,40.5,1.33
"070101000102800004","070101000102800004",1,2800,1,"070101000102800004 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 004","004",85,97,28,0,0,0,1,0,0,0,26,0,1,0,1,0,0,5,2,16,3,0,4,26,5,35,182,46.7,26,19.2,1.25
"070101000101600032","070101000101600032",1,1600,1,"070101000101600032 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 032","032",77,86,44,2,0,0,0,0,0,0,46,0,0,0,0,0,0,26,1,18,1,0,3,46,4,46,163,47.2,46,56.5,1.33
"070101000102700024","070101000102700024",1,2700,1,"070101000102700024 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 024","024",85,80,42,20,0,0,0,0,0,0,43,2,14,0,0,3,0,12,5,23,3,0,3,43,3,52,165,51.5,43,27.9,1
