LLAVE_MZS,Mz,CODCCPP,ZONA,AREA,manzana_label,mza,sexo_hombre,sexo_mujer,tipoviv_casa_independiente,tipoviv_departamento_en_edificio,tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_,tipoviv_vivienda_improvisada,tipoviv_viviendas_colectivas,tipoviv_vivienda_en_quinta,tipoviv_local_no_destinado_para_habitaci_n_humana,tipoviv_otro_tipo_de_vivienda_particular,ocup_ocupada_con_personas_presentes,ocup_ocupada_con_personas_ausentes,ocup_ocupada_de_uso_ocasional,ocup_desocupada_otra_causa,ocup_desocupada_abandonada_o_cerrada,ocup_desocupada_en_construcci_n_o_reparaci_n,ocup_desocupada_en_alquiler_o_venta,tenencia_alquilada,tenencia_propia_sin_t_tulo_de_propiedad,tenencia_propia_con_t_tulo_de_propiedad,tenencia_cedida,tenencia_otra_forma,habitaciones_promedio,viviendas_con_dato_habitaciones,personas_hogar_promedio,hogares_con_dato,poblacion_total,pct_hombres,viviendas_con_tenencia,pct_alquiler,hacinamiento_proxy
070101000102700005,070101000102700005,0001,02700,1,"070101000102700005 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 005",005,90.0,89.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,29.0,2.0,1.0,4.0,44.0,3.0,52.0,179.0,50.3,44.0,18.2,0.75
070101000102800019,070101000102800019,0001,02800,1,"070101000102800019 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 019",019,91.0,84.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,20.0,6.0,0.0,3.0,35.0,5.0,38.0,175.0,52.0,35.0,17.1,1.67
070101000101600042,070101000101600042,0001,01600,1,"070101000101600042 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 042",042,93.0,104.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,22.0,7.0,0.0,3.0,50.0,4.0,52.0,197.0,47.2,50.0,40.0,1.33
070101000101600015,070101000101600015,0001,01600,1,"070101000101600015 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 015",015,159.0,147.0,55.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,30.0,7.0,0.0,3.0,60.0,3.0,89.0,306.0,52.0,60.0,33.3,1.0
070101000102600010,070101000102600010,0001,02600,1,"070101000102600010 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010",010,84.0,87.0,31.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,15.0,3.0,0.0,3.0,33.0,4.0,47.0,171.0,49.1,33.0,42.4,1.33
070101000102600028,070101000102600028,0001,02600,1,"070101000102600028 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 028",028,65.0,74.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,1.0,0.0,4.0,23.0,4.0,39.0,139.0,46.8,23.0,8.7,1.0
070101000102700027,070101000102700027,0001,02700,1,"070101000102700027 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 027",027,65.0,66.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,27.0,1.0,0.0,3.0,32.0,4.0,32.0,131.0,49.6,32.0,9.4,1.33
070101000102600039,070101000102600039,0001,02600,1,"070101000102600039 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 039",039,169.0,201.0,59.0,39.0,1.0,0.0,1.0,2.0,0.0,0.0,97.0,2.0,0.0,1.0,0.0,0.0,1.0,53.0,6.0,35.0,3.0,0.0,3.0,97.0,4.0,100.0,370.0,45.7,97.0,54.6,1.33
070101000102800009,070101000102800009,0001,02800,1,"070101000102800009 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 009",009,72.0,75.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,23.0,1.0,0.0,3.0,27.0,4.0,34.0,147.0,49.0,27.0,3.7,1.33
070101000102500036,070101000102500036,0001,02500,1,"070101000102500036 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 036",036,114.0,117.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,24.0,3.0,0.0,4.0,40.0,5.0,47.0,231.0,49.4,40.0,30.0,1.25
